"id","location","fault_severity","severity_type","res.size","event.size","feat.size","tot.vol"
903,"location 846","1","severity_type 2",1,1,2,11
905,"location 1107","1","severity_type 1",1,2,7,111
906,"location 1120","0","severity_type 1",1,1,2,15
909,"location 59","1","severity_type 2",1,1,2,4
912,"location 1090","1","severity_type 1",1,1,2,6
914,"location 714","1","severity_type 2",2,2,1,1
917,"location 448","1","severity_type 2",1,2,2,6
918,"location 271","0","severity_type 2",1,2,2,2
920,"location 288","0","severity_type 2",1,2,2,3
922,"location 790","1","severity_type 1",2,2,4,6
924,"location 734","2","severity_type 1",1,2,4,23
926,"location 1064","0","severity_type 1",1,1,2,4
928,"location 836","0","severity_type 1",1,1,2,99
929,"location 476","0","severity_type 2",1,2,4,11
938,"location 1107","2","severity_type 2",1,1,2,3
943,"location 252","0","severity_type 4",1,1,1,1
946,"location 114","0","severity_type 1",1,2,2,2
948,"location 1038","1","severity_type 1",1,1,3,12
949,"location 651","0","severity_type 1",1,1,3,3
952,"location 13","0","severity_type 1",2,2,4,14
954,"location 618","0","severity_type 1",2,2,3,3
957,"location 921","0","severity_type 2",1,1,2,5
958,"location 313","0","severity_type 2",1,2,4,6
959,"location 1097","1","severity_type 1",1,1,2,5
961,"location 925","0","severity_type 1",1,1,3,188
967,"location 892","2","severity_type 1",1,3,6,27
968,"location 255","0","severity_type 1",1,3,4,4
969,"location 1079","0","severity_type 1",1,1,1,2
971,"location 485","0","severity_type 2",1,2,5,18
972,"location 2","0","severity_type 1",1,1,2,2
975,"location 836","0","severity_type 2",1,1,2,5
978,"location 802","1","severity_type 2",3,3,3,5
980,"location 135","0","severity_type 2",1,2,4,19
984,"location 445","0","severity_type 2",1,2,2,14
988,"location 945","0","severity_type 1",1,1,2,25
989,"location 38","1","severity_type 4",2,2,3,4
991,"location 946","0","severity_type 1",1,1,2,7
992,"location 579","0","severity_type 1",1,1,2,6
998,"location 878","0","severity_type 1",1,1,2,12
999,"location 704","1","severity_type 2",1,1,3,8
1002,"location 665","1","severity_type 1",1,1,2,20
1003,"location 244","0","severity_type 2",1,2,2,24
1005,"location 1118","0","severity_type 1",1,1,2,2
1006,"location 603","0","severity_type 1",1,1,1,2
1014,"location 118","0","severity_type 1",1,3,4,29
1015,"location 1088","0","severity_type 2",2,2,2,3
1019,"location 464","0","severity_type 2",1,2,2,4
1020,"location 480","0","severity_type 2",1,2,4,5
1022,"location 767","2","severity_type 1",2,2,4,12
1028,"location 332","1","severity_type 1",1,2,3,3
1030,"location 692","1","severity_type 2",1,1,4,5
1031,"location 763","1","severity_type 2",1,1,3,27
1035,"location 618","0","severity_type 1",3,4,3,4
1040,"location 122","0","severity_type 2",1,2,2,2
1044,"location 744","0","severity_type 4",1,1,2,2
1046,"location 710","0","severity_type 2",1,1,2,3
1047,"location 373","0","severity_type 2",1,2,4,71
1048,"location 996","1","severity_type 2",1,1,2,3
1050,"location 881","0","severity_type 1",2,2,3,5
1051,"location 480","0","severity_type 2",1,2,4,122
1054,"location 1084","1","severity_type 1",1,1,1,2
1064,"location 976","2","severity_type 1",1,2,4,34
1065,"location 600","0","severity_type 2",1,1,2,123
1069,"location 126","0","severity_type 2",1,2,5,10
1070,"location 805","0","severity_type 1",1,1,1,1
1071,"location 445","0","severity_type 2",1,2,2,6
1072,"location 1086","2","severity_type 2",1,1,2,14
1077,"location 318","0","severity_type 2",1,2,2,6
1079,"location 135","1","severity_type 2",1,2,2,3
1080,"location 664","0","severity_type 1",1,1,2,16
1085,"location 497","0","severity_type 2",1,2,5,346
1086,"location 1093","0","severity_type 1",1,1,1,2
1087,"location 1107","0","severity_type 2",1,1,2,7
1090,"location 246","1","severity_type 2",1,2,2,2
1094,"location 448","0","severity_type 2",1,2,2,7
1097,"location 491","0","severity_type 2",1,2,6,10
1098,"location 891","0","severity_type 1",1,1,2,8
1101,"location 465","0","severity_type 2",1,2,4,76
1102,"location 600","2","severity_type 2",1,1,2,22
1103,"location 896","0","severity_type 2",1,3,4,6
1104,"location 760","1","severity_type 1",2,3,6,64
1105,"location 467","0","severity_type 1",1,2,3,3
1107,"location 1107","1","severity_type 1",1,2,4,36
1108,"location 345","0","severity_type 1",1,3,7,16
1110,"location 1042","2","severity_type 2",1,1,2,51
1111,"location 915","1","severity_type 1",1,1,1,3
1112,"location 794","0","severity_type 1",2,2,2,12
1115,"location 244","0","severity_type 2",1,2,2,33
1116,"location 470","0","severity_type 1",1,2,5,20
1117,"location 17","0","severity_type 2",1,1,1,2
1118,"location 241","0","severity_type 2",1,2,4,4
1120,"location 1115","0","severity_type 1",1,1,2,8
1126,"location 1019","0","severity_type 1",1,2,6,12
1131,"location 495","0","severity_type 2",1,2,14,429
1132,"location 814","0","severity_type 1",1,1,3,93
1134,"location 16","2","severity_type 1",1,1,2,16
1136,"location 520","0","severity_type 2",1,2,2,16
1137,"location 881","1","severity_type 1",1,1,1,1
1142,"location 126","0","severity_type 2",1,2,6,54
1143,"location 878","0","severity_type 2",1,1,2,10
1144,"location 734","2","severity_type 1",1,2,4,43
1148,"location 419","1","severity_type 1",1,2,5,5
1152,"location 891","0","severity_type 1",1,1,1,4
1154,"location 252","1","severity_type 1",2,3,4,5
1159,"location 234","0","severity_type 2",1,2,3,3
1162,"location 122","0","severity_type 2",1,2,6,15
1164,"location 794","2","severity_type 1",4,4,10,140
1165,"location 509","0","severity_type 2",1,2,14,96
1166,"location 584","0","severity_type 1",1,1,2,6
1171,"location 696","1","severity_type 1",1,1,2,19
1172,"location 344","0","severity_type 2",1,2,2,7
1177,"location 704","2","severity_type 2",1,1,2,33
1184,"location 851","0","severity_type 1",4,5,5,9
1193,"location 1067","1","severity_type 1",1,1,2,2
1194,"location 726","1","severity_type 1",1,1,2,4
1196,"location 627","0","severity_type 4",1,1,1,1
1197,"location 479","0","severity_type 2",1,2,2,15
1203,"location 472","0","severity_type 1",2,3,11,19
1205,"location 242","0","severity_type 2",1,2,6,279
1207,"location 809","0","severity_type 2",1,1,2,11
1210,"location 448","0","severity_type 1",1,3,5,7
1211,"location 83","1","severity_type 1",1,1,1,2
1213,"location 197","0","severity_type 1",1,3,3,3
1214,"location 270","1","severity_type 2",1,2,3,3
1215,"location 547","0","severity_type 1",1,1,2,6
1216,"location 7","0","severity_type 1",1,1,4,42
1217,"location 451","0","severity_type 2",1,2,8,87
1218,"location 496","0","severity_type 2",1,2,11,334
1222,"location 734","2","severity_type 1",1,2,6,60
1223,"location 314","1","severity_type 2",2,3,4,4
1225,"location 1033","1","severity_type 1",1,1,2,4
1226,"location 891","0","severity_type 1",1,1,2,11
1228,"location 91","1","severity_type 2",1,1,2,4
1235,"location 1","1","severity_type 1",1,2,4,20
1236,"location 948","1","severity_type 1",2,2,2,11
1239,"location 244","0","severity_type 2",1,2,2,48
1241,"location 846","2","severity_type 2",1,1,2,13
1242,"location 497","0","severity_type 2",1,2,6,325
1244,"location 276","1","severity_type 2",1,2,4,4
1247,"location 1","0","severity_type 1",1,2,4,7
1248,"location 648","2","severity_type 1",4,4,5,11
1251,"location 962","0","severity_type 2",1,1,2,49
1255,"location 1042","1","severity_type 2",1,1,2,6
1257,"location 1045","0","severity_type 1",1,1,1,1
1258,"location 757","1","severity_type 1",1,1,2,2
1262,"location 902","1","severity_type 1",2,2,3,3
1264,"location 808","0","severity_type 1",2,3,6,21
1265,"location 519","0","severity_type 2",1,2,2,2
1266,"location 246","1","severity_type 2",1,2,2,5
1269,"location 963","0","severity_type 1",1,1,3,106
1271,"location 410","0","severity_type 4",1,1,2,2
1274,"location 410","1","severity_type 2",1,1,2,2
1282,"location 957","0","severity_type 2",2,2,3,5
1283,"location 380","0","severity_type 2",1,2,2,13
1284,"location 600","0","severity_type 2",1,1,2,14
1295,"location 607","0","severity_type 2",2,2,1,7
1296,"location 846","2","severity_type 2",1,1,2,18
1299,"location 737","0","severity_type 2",1,1,1,1
1308,"location 100","0","severity_type 2",1,2,4,4
1309,"location 1117","1","severity_type 1",1,1,2,2
1310,"location 836","0","severity_type 1",1,1,2,12
1312,"location 505","0","severity_type 2",1,2,5,304
1314,"location 810","0","severity_type 2",1,1,2,17
1318,"location 690","1","severity_type 1",2,2,4,6
1320,"location 875","0","severity_type 2",1,1,1,1
1321,"location 533","0","severity_type 1",1,3,5,16
1324,"location 609","0","severity_type 2",2,3,4,15
1337,"location 128","0","severity_type 2",1,2,2,2
1341,"location 859","0","severity_type 1",1,1,2,4
1342,"location 691","0","severity_type 2",2,3,4,16
1343,"location 128","0","severity_type 2",1,2,8,14
1349,"location 1007","0","severity_type 2",1,1,2,4
1351,"location 103","0","severity_type 2",1,2,12,29
1352,"location 618","1","severity_type 1",3,4,2,4
1355,"location 494","0","severity_type 2",1,2,6,370
1357,"location 414","1","severity_type 2",1,2,4,4
1367,"location 808","0","severity_type 1",1,2,2,12
1373,"location 962","2","severity_type 1",1,2,4,36
1378,"location 707","0","severity_type 2",1,1,2,10
1379,"location 1095","0","severity_type 1",5,6,13,134
1380,"location 1015","1","severity_type 1",1,1,2,4
1381,"location 695","1","severity_type 1",1,1,2,2
1382,"location 1019","2","severity_type 2",1,1,2,11
1383,"location 17","1","severity_type 1",1,1,2,4
1385,"location 122","0","severity_type 2",1,2,6,60
1387,"location 95","0","severity_type 2",1,2,4,4
1389,"location 87","1","severity_type 1",2,3,5,9
1395,"location 963","0","severity_type 1",1,1,2,16
1397,"location 407","0","severity_type 4",1,1,1,2
1398,"location 941","0","severity_type 1",1,1,2,4
1399,"location 821","2","severity_type 1",1,2,1,2
1400,"location 375","0","severity_type 2",1,2,2,10
1401,"location 989","1","severity_type 1",1,1,1,4
1402,"location 214","0","severity_type 2",2,3,4,4
1405,"location 126","0","severity_type 2",1,2,7,31
1406,"location 735","0","severity_type 1",2,3,2,14
1409,"location 723","0","severity_type 4",1,1,1,1
1412,"location 300","1","severity_type 2",1,2,4,4
1415,"location 1107","1","severity_type 1",1,2,4,46
1416,"location 325","0","severity_type 4",1,1,2,2
1418,"location 1099","1","severity_type 1",1,1,2,10
1421,"location 653","2","severity_type 1",1,2,2,39
1423,"location 891","0","severity_type 2",1,1,1,1
1424,"location 414","0","severity_type 2",1,2,3,6
1425,"location 944","0","severity_type 2",1,1,1,1
1428,"location 921","1","severity_type 1",1,1,1,1
1430,"location 807","0","severity_type 4",1,1,1,1
1433,"location 270","0","severity_type 2",1,2,2,16
1434,"location 512","0","severity_type 4",1,1,1,1
1436,"location 468","0","severity_type 2",1,2,4,10
1438,"location 37","1","severity_type 1",1,1,1,2
1441,"location 549","0","severity_type 1",2,3,4,16
1444,"location 1052","1","severity_type 1",1,2,4,9
1446,"location 236","0","severity_type 2",1,2,2,50
